T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,1662924;-0,9055657;-0,3848245;-0,06486681;0,4210707;-0,4638489;-0,6742499;0,3910638;0,4684366;-0,4018325;-0,6267138;0,4757391;0,5006354;-0,3309591;-0,6378977;0,4826147;0,5559596;-0,2436398;-0,5143484;0,6058005;0,1141529;0,1362886;0,1423095;0,1334724;0,1185175;0,1206603;0,1907074;go
0,1665358;-0,9051713;-0,3854507;-0,06602195;0,4213822;-0,4637313;-0,6739255;0,391427;0,4688879;-0,4017483;-0,6263597;0,475832;0,5011526;-0,3306562;-0,6379943;0,4821576;0,5562924;-0,2437774;-0,5142282;0,6055416;0,1141673;0,1362796;0,1423073;0,1334682;0,1185094;0,1207728;0,190699;go
0,1639754;-0,9055722;-0,3860724;-0,06323865;0,4200381;-0,463275;-0,6747903;0,3919217;0,466931;-0,4021029;-0,626457;0,4773262;0,499584;-0,3311104;-0,6376572;0,4839164;0,5556992;-0,243324;-0,5140957;0,6063805;0,1141964;0,1362874;0,1423067;0,1334657;0,1185123;0,1208919;0,1909531;go
0,1634883;-0,9057063;-0,3861422;-0,06214535;0,4197479;-0,4630119;-0,6752055;0,3918286;0,4664403;-0,4020272;-0,6266891;0,4775654;0,4991306;-0,3311384;-0,6376457;0,4843807;0,5555274;-0,2430571;-0,5141617;0,6065891;0,1141926;0,1362927;0,1423074;0,1334668;0,1185146;0,1208561;0,1909937;go
0,1631286;-0,9058002;-0,3862005;-0,06135437;0,4195152;-0,462813;-0,6755133;0,3917817;0,4660726;-0,4019536;-0,6268727;0,4777451;0,4987886;-0,3311357;-0,6376619;0,4847125;0,5553871;-0,242846;-0,5142345;0,6067404;0,1141897;0,1362954;0,1423074;0,1334669;0,1185161;0,1208317;0,1910224;go
0,1621496;-0,9057075;-0,3868618;-0,06115335;0,4191843;-0,4626004;-0,6756692;0,3921185;0,4667216;-0,4007486;-0,6280397;0,4765899;0,4987795;-0,330485;-0,638478;0,4840917;0,5549904;-0,2440156;-0,5130205;0,6076612;0,1142146;0,1362896;0,1423086;0,133463;0,1184955;0,1209903;0,1912096;go
0,1613102;-0,9056067;-0,3874635;-0,06105536;0,4189099;-0,4624108;-0,6758069;0,3923975;0,4673163;-0,3996833;-0,6290686;0,4755434;0,4988027;-0,3298936;-0,6392214;0,4834895;0,5546625;-0,2450313;-0,5119959;0,6084157;0,1142363;0,1362846;0,142309;0,1334595;0,1184771;0,1211308;0,1913679;go
0,1606748;-0,905736;-0,3872491;-0,06216121;0,41795;-0,4633685;-0,675473;0,3928664;0,4681229;-0,3988841;-0,6302726;0,473824;0,4985508;-0,3301168;-0,6397842;0,4828525;0,5540833;-0,2459886;-0,5119375;0,6086062;0,1142675;0,1362765;0,1423082;0,1334602;0,1184691;0,1213056;0,1914752;go
0,160109;-0,9058553;-0,3870342;-0,06321391;0,4170841;-0,4642636;-0,6751422;0,3932981;0,4688781;-0,398166;-0,6313551;0,4722373;0,4983367;-0,3303299;-0,6402984;0,4822452;0,5535485;-0,2469055;-0,5118593;0,6087872;0,114296;0,136269;0,1423064;0,13346;0,1184609;0,1214678;0,1915723;go
0,1596031;-0,9059637;-0,3868235;-0,06422174;0,416297;-0,4651029;-0,6748151;0,3937011;0,4695947;-0,3975087;-0,6323391;0,4707602;0,4981566;-0,3305305;-0,6407713;0,4816657;0,5530546;-0,2477818;-0,5117648;0,6089596;0,1143224;0,136262;0,1423048;0,1334602;0,1184536;0,1216188;0,1916612;go
0,1591606;-0,9060525;-0,3866353;-0,06519082;0,4155815;-0,4658798;-0,6744912;0,3940943;0,4703018;-0,396868;-0,6332518;0,4693661;0,4980158;-0,3306957;-0,6412117;0,4811116;0,5526052;-0,2486048;-0,5116498;0,6091287;0,1143473;0,1362543;0,1423023;0,1334595;0,1184459;0,1217619;0,1917442;go
0,1585995;-0,9059978;-0,3868615;-0,06597453;0,4156727;-0,4663715;-0,6744273;0,3935246;0,4714481;-0,3964413;-0,6341246;0,467394;0,499653;-0,3291731;-0,6428515;0,4782615;0,5532225;-0,2490056;-0,5118369;0,6082468;0,1143515;0,1362517;0,1423025;0,1334644;0,1184486;0,1218032;0,1917683;go
0,1580875;-0,9059396;-0,3870638;-0,06680882;0,4157194;-0,4668677;-0,6743315;0,3930511;0,4725543;-0,3959977;-0,6349556;0,4655208;0,5010877;-0,3278697;-0,6442863;0,475718;0,5537435;-0,2494525;-0,5119601;0,6074855;0,1143584;0,1362488;0,1423023;0,1334679;0,1184505;0,1218557;0,1917984;go
0,1590136;-0,9053832;-0,3876231;-0,06887954;0,4174087;-0,4663317;-0,6743308;0,3918966;0,4743303;-0,3951714;-0,6352697;0,463986;0,5024269;-0,3273886;-0,6443084;0,4746059;0,5545358;-0,250039;-0,5113989;0,6069943;0,1143657;0,1362477;0,1423005;0,1334687;0,1184437;0,1218823;0,191766;go
0,1598244;-0,9048738;-0,3881277;-0,07082835;0,4188942;-0,4659081;-0,6742865;0,39089;0,4760203;-0,3943639;-0,6356089;0,4624753;0,5036765;-0,3269255;-0,6443722;0,473513;0,5552519;-0,2506236;-0,5108667;0,6065463;0,1143741;0,1362465;0,1422988;0,1334691;0,1184366;0,1219176;0,1917433;go
0,1605521;-0,904399;-0,3885891;-0,07269159;0,4202334;-0,4655652;-0,6742131;0,3899868;0,4776455;-0,3935696;-0,6359668;0,4609817;0,504858;-0,3264763;-0,6444669;0,4724343;0,5559087;-0,25121;-0,5103573;0,606131;0,1143836;0,1362447;0,1422975;0,1334696;0,1184301;0,1219598;0,1917281;go
0,1611976;-0,903972;-0,3889916;-0,07440245;0,4213969;-0,4652749;-0,67413;0,3892206;0,4791478;-0,3927761;-0,6363516;0,4595664;0,5059161;-0,3260259;-0,6446041;0,4714254;0,556455;-0,2517635;-0,5098953;0,6057888;0,1143931;0,1362423;0,142295;0,1334693;0,1184229;0,1220054;0,1917175;go
0,161066;-0,9034153;-0,3901269;-0,07549641;0,4214105;-0,4647836;-0,6741904;0,3896881;0,4785639;-0,3932763;-0,635427;0,4610241;0,5064663;-0,3252351;-0,6444754;0,4715568;0,556974;-0,2516286;-0,508963;0,6061517;0,1144257;0,1362431;0,142298;0,1334707;0,1184177;0,1221324;0,1918103;go
0,1610026;-0,9028705;-0,3911768;-0,07670715;0,4215062;-0,4643343;-0,6742201;0,3900692;0,4782411;-0,3935692;-0,6347018;0,4621065;0,507068;-0,3244367;-0,6444257;0,4715276;0,5574518;-0,251605;-0,5080645;0,6064758;0,1144575;0,1362426;0,1422997;0,1334717;0,1184121;0,1222599;0,1918963;go
0,1614931;-0,902499;-0,3916635;-0,07755974;0,4219863;-0,4639262;-0,6742151;0,3900438;0,4789395;-0,3929065;-0,6348629;0,461726;0,5078798;-0,3234467;-0,6447507;0,4708896;0,5582032;-0,2508169;-0,508104;0,6060782;0,1144601;0,1362409;0,1422983;0,1334714;0,1184215;0,1222737;0,191878;go
0,1619892;-0,9021237;-0,3921347;-0,07850254;0,4224925;-0,4635392;-0,6741973;0,389987;0,4797186;-0,3921909;-0,6350806;0,4612256;0,5087088;-0,3224633;-0,6450975;0,4701938;0,558922;-0,2501245;-0,508116;0,6056916;0,1144639;0,1362391;0,1422975;0,1334716;0,1184303;0,1222934;0,1918613;go
0,1629122;-0,9017878;-0,3924001;-0,07912347;0,4232648;-0,463038;-0,6739184;0,3902267;0,4800783;-0,3919587;-0,6346239;0,4616773;0,5092856;-0,3218349;-0,6448696;0,4703124;0,5592465;-0,2501478;-0,5070213;0,6062996;0,1144701;0,1362375;0,1422973;0,133472;0,1184275;0,1223239;0,1918848;go
0,1638041;-0,9014468;-0,3926735;-0,07981047;0,4240494;-0,4625487;-0,6736557;0,3904087;0,4804629;-0,3917259;-0,6342059;0,4620486;0,5098665;-0,3212303;-0,6446666;0,4703746;0,5595543;-0,2502561;-0,5059157;0,6068942;0,1144769;0,1362363;0,142298;0,1334733;0,1184243;0,1223577;0,1919102;go
0,1646647;-0,9011043;-0,3929502;-0,08054215;0,4248364;-0,4620726;-0,6734076;0,3905453;0,4808618;-0,3914972;-0,6338193;0,4623582;0,5104463;-0,3206488;-0,6444836;0,4703935;0,5598488;-0,250426;-0,5048118;0,6074713;0,1144837;0,136234;0,1422975;0,1334732;0,11842;0,122393;0,1919366;go
0,1655075;-0,9007577;-0,3932317;-0,08131361;0,4256311;-0,4616031;-0,6731683;0,3906473;0,4812735;-0,3912714;-0,6334521;0,4626239;0,51103;-0,3200808;-0,6443142;0,4703789;0,5601364;-0,250643;-0,5037017;0,6080378;0,1144914;0,1362331;0,1422984;0,1334753;0,1184166;0,1224304;0,1919642;go
0,1655491;-0,9007802;-0,3929068;-0,08254036;0,4252706;-0,4621941;-0,6728684;0,3908579;0,4819682;-0,390739;-0,6340042;0,4615934;0,5117522;-0,3190845;-0,6452006;0,4690531;0,5602785;-0,2504128;-0,5040636;0,607702;0,1145049;0,1362308;0,1422958;0,1334739;0,1184268;0,1224846;0,1919498;go
0,165649;-0,9007667;-0,392639;-0,08375302;0,4250023;-0,4627031;-0,6725779;0,391047;0,482666;-0,3902087;-0,6345043;0,4606245;0,5124791;-0,3181054;-0,6460183;0,4677973;0,560441;-0,2502201;-0,5043208;0,6074179;0,1145177;0,1362283;0,1422928;0,1334725;0,1184361;0,1225383;0,1919385;go
0,1662038;-0,9008901;-0,3920199;-0,08422679;0,4253219;-0,463044;-0,6721039;0,391111;0,4826569;-0,3907569;-0,6339325;0,4609569;0,5127875;-0,3180531;-0,6459722;0,4675593;0,5601885;-0,2508689;-0,5037638;0,6078453;0,1145157;0,1362273;0,1422925;0,133472;0,118432;0,1225324;0,1919163;go
0,1667638;-0,9009841;-0,3914633;-0,08469886;0,4256877;-0,4633214;-0,6716617;0,3911442;0,4826538;-0,3912848;-0,6333618;0,4612963;0,5131046;-0,3179875;-0,6459171;0,4673313;0,5599595;-0,2515174;-0,5031799;0,6082713;0,1145138;0,1362266;0,1422925;0,1334724;0,1184286;0,1225262;0,191896;go
0,1673277;-0,9010558;-0,3909554;-0,08516946;0,4260876;-0,4635503;-0,6712441;0,3911547;0,482658;-0,3917941;-0,6327944;0,4616385;0,5134304;-0,3179087;-0,6458583;0,4671085;0,5597503;-0,2521618;-0,502579;0,608694;0,1145114;0,1362251;0,1422922;0,1334721;0,1184239;0,122521;0,1918774;go
0,166655;-0,9015226;-0,3901502;-0,08524063;0,4257863;-0,4643536;-0,6709723;0,3909965;0,4822637;-0,3926243;-0,632667;0,4615194;0,512961;-0,3189279;-0,6457175;0,4671243;0,5590755;-0,2534268;-0,5023212;0,6090017;0,1145123;0,1362238;0,1422924;0,1334709;0,1184163;0,1225376;0,1918989;go
0,1660625;-0,9019263;-0,3894613;-0,08527741;0,4255703;-0,4650218;-0,6707244;0,3908627;0,4819393;-0,3933334;-0,632539;0,4614303;0,5125605;-0,3198138;-0,6455734;0,4671576;0,5584787;-0,2545749;-0,5020293;0,6093109;0,114513;0,1362225;0,1422923;0,1334699;0,1184086;0,1225552;0,1919208;go
0,165517;-0,9023072;-0,3888021;-0,08531746;0,4254017;-0,4656515;-0,670468;0,3907363;0,481648;-0,3940151;-0,6323891;0,4613583;0,5121946;-0,3206655;-0,6454084;0,4672027;0,5579133;-0,2556992;-0,5017009;0,6096286;0,1145133;0,1362214;0,1422926;0,1334689;0,1184003;0,1225722;0,1919427;go
0,1650064;-0,9026709;-0,3881646;-0,08536002;0,4252691;-0,4662527;-0,6702046;0,3906158;0,4813829;-0,3946759;-0,6322225;0,4612984;0,5118552;-0,3214921;-0,6452274;0,4672568;0,5573716;-0,2568057;-0,5013438;0,6099527;0,1145141;0,1362203;0,1422926;0,1334679;0,1183924;0,1225898;0,1919648;go
0,1663908;-0,9023497;-0,3885572;-0,08427653;0,4252703;-0,4653795;-0,6703664;0,3913771;0,4823043;-0,3927283;-0,6329309;0,4610266;0,5127758;-0,3189537;-0,6462179;0,4666178;0,5579385;-0,2551187;-0,5011363;0,6103127;0,1144889;0,1362225;0,1422892;0,1334694;0,1184096;0,1224533;0,1919096;go
0,1676339;-0,9020751;-0,3888708;-0,0833022;0,4252808;-0,4646226;-0,6704848;0,3920619;0,4831381;-0,3909938;-0,6335548;0,4607715;0,5135991;-0,3166904;-0,6470967;0,4660358;0,558425;-0,2536662;-0,5008965;0,6106701;0,1144661;0,1362247;0,1422862;0,1334711;0,1184246;0,1223296;0,191861;go
0,1674303;-0,9021181;-0,3891182;-0,08208147;0,4255408;-0,4634573;-0,6712793;0,3917992;0,4821309;-0,3908777;-0,6336431;0,461802;0,5125015;-0,3169277;-0,6469779;0,4672458;0,5576538;-0,2534084;-0,5013193;0,6111348;0,1144584;0,1362299;0,1422883;0,133473;0,1184146;0,1222698;0,1918204;go
0,1672289;-0,9021713;-0,3893179;-0,08095315;0,4258279;-0,4623767;-0,6720067;0,391517;0,481172;-0,3908304;-0,6336778;0,4627933;0,5114537;-0,3172299;-0,6468112;0,4684184;0,5569048;-0,2532485;-0,5016727;0,6115937;0,1144514;0,1362347;0,1422902;0,133475;0,1184042;0,122215;0,1917832;go
0,1670294;-0,9022325;-0,3894815;-0,07988521;0,4261399;-0,46135;-0,6726902;0,3912148;0,4802397;-0,3908373;-0,6336701;0,4637653;0,510433;-0,3175872;-0,6466033;0,4695752;0,556165;-0,2531632;-0,5019767;0,6120528;0,1144448;0,1362391;0,142292;0,1334765;0,1183931;0,122163;0,1917477;go
0,1668345;-0,9022998;-0,3896154;-0,07887518;0,4264685;-0,4603753;-0,673333;0,3908989;0,4793369;-0,3908873;-0,6336282;0,4647135;0,509443;-0,317984;-0,6463645;0,4707089;0,5554392;-0,2531365;-0,5022405;0,6125063;0,1144384;0,1362431;0,1422937;0,1334777;0,1183819;0,122113;0,1917133;go
0,1671029;-0,9021873;-0,389691;-0,079218;0,4265947;-0,4607977;-0,6732731;0,3903664;0,4802233;-0,3907259;-0,6338735;0,4635985;0,510604;-0,3173345;-0,6466852;0,4694474;0,5564486;-0,252863;-0,5021309;0,6117924;0,1144261;0,1362478;0,1422937;0,1334783;0,1183946;0,122034;0,1917173;go
