T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,6869532;-0,521798;-0,1376158;-0,4867074;0,1507051;0,5539011;0,1670863;-0,8016007;0,1797127;0,5931702;0,08947071;-0,7796458;0,05698463;0,590485;0,01759756;-0,8048421;-0,02559699;0,5783461;-0,02130213;-0,8151115;0,08883668;0,04682149;0,03705731;0,03239677;0,03274912;0,05589732;0,06786112;stop
0,6848247;-0,5244515;-0,1374926;-0,48689;0,1515933;0,552184;0,1701578;-0,8019717;0,1803164;0,5914794;0,09320363;-0,7803535;0,05818491;0,5890564;0,02010673;-0,8057438;-0,0245478;0,5771369;-0,01842108;-0,8160708;0,08882508;0,04682299;0,03701893;0,03243;0,03275909;0,05592614;0,06781818;stop
0,682766;-0,5269818;-0,137355;-0,4870879;0,152407;0,5505586;0,1731724;-0,8022895;0,1808613;0,5898785;0,09685972;-0,7809935;0,05933096;0,5877022;0,02253202;-0,8065844;-0,02354969;0,5759932;-0,01562646;-0,8169658;0,0888125;0,04682415;0,03698096;0,03246287;0,03276786;0,05595322;0,06777626;stop
0,680747;-0,5294322;-0,1372038;-0,4872991;0,1531697;0,5489935;0,1761594;-0,8025665;0,1813648;0,5883365;0,1004796;-0,7815824;0,06044234;0,5863966;0,02490652;-0,807382;-0,02258475;0,5748927;-0,01288179;-0,8178154;0,08880074;0,0468249;0,03694313;0,0324959;0,03277681;0,05598154;0,06773536;stop
0,6797822;-0,52996;-0,1380177;-0,4878421;0,1527396;0,5478966;0,1764389;-0,8033363;0,1805813;0,5874411;0,1010296;-0,7823661;0,0597228;0,5855458;0,0249483;-0,8080513;-0,02353759;0,5741457;-0,01257336;-0,8183182;0,08883655;0,04684369;0,0369463;0,0325102;0,03275497;0,0560471;0,06773765;stop
0,6787452;-0,5305907;-0,1387407;-0,4883951;0,1523808;0,5467976;0,1768935;-0,8040529;0,1798809;0,5865331;0,1017623;-0,7831131;0,05911195;0,584699;0,02513713;-0,8087035;-0,02437948;0,5734119;-0,01211241;-0,8188148;0,08886876;0,04686024;0,03694578;0,03252342;0,03273179;0,05611255;0,06773876;stop
0,6776555;-0,5312986;-0,1393861;-0,4889544;0,1520818;0,5457023;0,1774807;-0,8047239;0,1792522;0,5856202;0,1026306;-0,7838271;0,05858951;0,5838599;0,02543974;-0,8093381;-0,02513048;0,5726938;-0,01153508;-0,8193031;0,08889958;0,0468765;0,03694496;0,03253752;0,03271106;0,05617604;0,06773787;stop
0,6785945;-0,5314703;-0,1420945;-0,4866807;0,1513827;0,5447353;0,1754213;-0,8059617;0,1783123;0,5847028;0,1006283;-0,784985;0,05777194;0,5824212;0,02345505;-0,8104925;-0,02565984;0,5709149;-0,01351085;-0,8204971;0,08892797;0,04688198;0,03695638;0,03254393;0,03271823;0,05617089;0,06781351;stop
0,6793319;-0,5317521;-0,1446183;-0,4845966;0,1507465;0,5437539;0,1736582;-0,8071246;0,1774419;0,5837732;0,09893689;-0,7860882;0,05703589;0,5810201;0,02173892;-0,8115973;-0,02613115;0,5692101;-0,01520663;-0,8216363;0,0889562;0,04688723;0,0369654;0,03254978;0,03272369;0,05617037;0,06788573;stop
0,6799327;-0,5321336;-0,1470968;-0,4825849;0,150157;0,5426806;0,1720566;-0,8082989;0,1766138;0,5827563;0,09741443;-0,7872188;0,05634015;0,5795607;0,02017525;-0,812729;-0,02658428;0,5674691;-0,01673216;-0,8227953;0,0889831;0,04689266;0,03697401;0,03255603;0,03272874;0,05617101;0,06795381;stop
